,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,new_runtimes,new_results,py_runtimes,py_results
0,0.0661,-46.5,0.0635,-46.5,0.0963,-46.5,0.0713,-46.5,0.0775,-47.3,0.0096,-46.5
1,0.069,-40.4,0.0612,-40.4,0.0779,-40.4,0.0687,-40.4,0.0745,-40.4,0.0106,-40.4
2,0.0579,-38.7,0.0842,-38.7,0.1596,-38.7,0.1464,-38.7,0.169,-38.7,0.0249,-38.7
3,0.1231,-47.8,0.1144,-47.8,0.1419,-47.8,0.1362,-47.8,0.1299,-47.8,0.0058,-47.8
4,0.1749,-35.4,0.1851,-35.5,0.0971,-35.4,0.1207,-35.5,0.1079,-36.1,0.0454,-35.5
5,0.2371,-36.4,0.3344,-36.4,0.2558,-36.4,1.0573,-36.4,0.7158,-36.4,0.4642,-36.4
6,0.4277,-23.9,0.4121,-19.1,0.5439,-23.9,0.6906,-21.24,1.5289,-23.9,0.5493,-21.24
7,0.051,-64.5,0.047,-64.5,0.0634,-64.5,0.0524,-64.5,0.0633,-64.5,0.0016,-64.5
8,0.4701,-31.9,0.5644,-33.4,0.5029,-31.9,0.8838,-33.4,0.9678,-33.4,0.7833,-33.4
9,0.0527,-37.2,0.0513,-37.2,0.0633,-37.2,0.0569,-37.2,0.0601,-37.2,0.0034,-37.2
10,0.7146,-30.7,0.6514,-27.0,0.7292,-30.7,1.5597,-28.5,1.5524,-30.7,0.8166,-28.5
11,0.0635,-42.5,0.0616,-42.5,0.0788,-42.5,0.0761,-42.5,0.0743,-42.5,0.0233,-42.5
12,0.0707,-37.0,0.0714,-36.0,0.086,-37.0,0.1009,-37.0,0.0803,-37.0,0.0407,-37.0
13,0.3053,-25.9,0.3097,-26.5,0.3273,-25.9,0.5623,-26.5,0.5802,-26.5,0.5037,-26.5
14,1.3172,-13.27,0.6499,-14.8,0.6394,-13.27,1.1662,-14.8,1.6598,-14.8,0.8504,-14.8
15,0.1837,-36.9,0.1929,-35.9,0.201,-36.9,0.2502,-36.9,0.1433,-36.9,0.1798,-36.9
16,0.2902,-35.2,0.2894,-33.1,0.3117,-35.2,0.5355,-35.2,0.4626,-36.4,0.4382,-35.2
17,0.1366,-41.5,0.1189,-40.3,0.1459,-41.5,0.1483,-41.5,0.1277,-42.7,0.0786,-41.5
18,0.0655,-49.0,0.0717,-49.1,0.0795,-49.0,0.0818,-49.1,0.0884,-49.1,0.0266,-49.1
19,0.0515,-50.8,0.0524,-50.8,0.062,-50.8,0.0585,-50.8,0.066,-50.8,0.0051,-50.8
20,0.0594,-60.7,0.0513,-60.7,0.065,-60.7,0.0568,-60.7,0.063,-60.7,0.0036,-60.7
21,0.0621,-52.0,0.074,-52.0,0.0799,-52.0,0.0956,-52.0,0.0983,-52.0,0.0329,-52.0
